2010-05-26T09:17:28	Fast_Shutter	CLOSED
2010-05-26T09:55:40	Rear_Det_Z	5360.944
2010-05-26T09:55:41	Moderator_Temp	29
2010-05-26T09:55:41	Rear_Det_Z	5407.888
2010-05-26T09:55:42	Rear_Det_Z	5447.536
2010-05-26T09:55:44	Rear_Det_Z	5494.896
2010-05-26T09:55:45	Rear_Det_Z	5528.656
2010-05-26T09:55:46	Rear_Det_Z	5561.76
2010-05-26T09:55:46	Julabo_2	28.02
2010-05-26T09:55:47	Moderator_Temp	30
2010-05-26T09:55:47	Rear_Det_Z	5608.24
2010-05-26T09:55:48	Rear_Det_Z	5648.448
2010-05-26T09:55:50	Rear_Det_Z	5688.976
2010-05-26T09:55:51	Rear_Det_Z	5728.656
2010-05-26T09:55:52	Rear_Det_Z	5768.112
2010-05-26T09:55:53	Rear_Det_Z	5808.224
2010-05-26T09:55:53	Julabo_2	27.9
2010-05-26T09:55:55	Rear_Det_Z	5848.832
2010-05-26T09:55:56	Rear_Det_Z	5889.28
2010-05-26T09:55:57	Rear_Det_Z	5928.816
2010-05-26T09:55:58	Rear_Det_Z	5968.608
2010-05-26T09:55:59	Rear_Det_Z	6002.656
2010-05-26T09:56:00	Rear_Det_Z	6036.096
2010-05-26T09:56:01	Rear_Det_Z	6075.904
2010-05-26T09:56:03	Rear_Det_Z	6109.936
2010-05-26T09:56:03	Julabo_2	27.77
2010-05-26T09:56:04	Rear_Det_Z	6143.088
2010-05-26T09:56:05	Rear_Det_Z	6177.376
2010-05-26T09:56:06	Rear_Det_Z	6217.504
2010-05-26T09:56:07	Rear_Det_Z	6257.328
2010-05-26T09:56:08	Rear_Det_Z	6292.048
2010-05-26T09:56:09	Rear_Det_Z	6325.472
2010-05-26T09:56:10	Moderator_Temp	29
2010-05-26T09:56:10	Rear_Det_Z	6378.704
2010-05-26T09:56:10	Julabo_2	27.65
2010-05-26T09:56:12	Rear_Det_Z	6415.376
2010-05-26T09:56:13	Rear_Det_Z	6448.944
2010-05-26T09:56:14	Rear_Det_Z	6475.328
2010-05-26T09:56:16	Rear_Det_Z	6554.912
2010-05-26T09:56:17	Rear_Det_Z	6588.432
2010-05-26T09:56:18	Rear_Det_Z	6629.6
2010-05-26T09:56:18	Julabo_2	27.53
2010-05-26T09:56:19	Rear_Det_Z	6662.608
2010-05-26T09:56:21	Rear_Det_Z	6702.288
2010-05-26T09:56:22	Rear_Det_Z	6735.568
2010-05-26T09:56:23	Rear_Det_Z	6775.376
2010-05-26T09:56:24	Rear_Det_Z	6808.368
2010-05-26T09:56:25	Rear_Det_Z	6848.784
2010-05-26T09:56:25	Julabo_2	27.42
2010-05-26T09:56:26	Rear_Det_Z	6881.248
2010-05-26T09:56:27	Moderator_Temp	28
2010-05-26T09:56:27	Rear_Det_Z	6920.272
2010-05-26T09:56:28	Rear_Det_Z	6947.856
2010-05-26T09:56:28	Rear_Baffle_Z	3241.555
2010-05-26T09:56:28	Rear_Det_X	120.064
2010-05-26T09:56:29	Rear_Det_Z	6990.576
2010-05-26T09:56:29	Rear_Baffle_Z	3279.483
2010-05-26T09:56:31	Rear_Det_Z	7030.032
2010-05-26T09:56:31	Rear_Baffle_Z	3319.298
2010-05-26T09:56:31	Julabo_2	27.32
2010-05-26T09:56:32	Rear_Det_Z	7076.896
2010-05-26T09:56:32	Rear_Baffle_Z	3359.298
2010-05-26T09:56:33	Rear_Det_Z	7116.96
2010-05-26T09:56:33	Rear_Baffle_Z	3406.007
2010-05-26T09:56:35	Rear_Det_Z	7164.56
2010-05-26T09:56:35	Rear_Baffle_Z	3446.944
2010-05-26T09:56:36	Rear_Det_Z	7197.472
2010-05-26T09:56:36	Rear_Baffle_Z	3486.726
2010-05-26T09:56:37	Rear_Det_Z	7244.736
2010-05-26T09:56:37	Rear_Baffle_Z	3527.121
2010-05-26T09:56:38	Rear_Det_Z	7284.432
2010-05-26T09:56:38	Rear_Baffle_Z	3566.817
2010-05-26T09:56:38	Julabo_2	27.22
2010-05-26T09:56:39	Rear_Det_Z	7318.912
2010-05-26T09:56:39	Rear_Baffle_Z	3601.282
2010-05-26T09:56:41	Rear_Det_Z	7351.984
2010-05-26T09:56:41	Rear_Baffle_Z	3640.991
2010-05-26T09:56:42	Rear_Det_Z	7391.312
2010-05-26T09:56:42	Rear_Baffle_Z	3673.688
2010-05-26T09:56:43	Rear_Det_Z	7430.848
2010-05-26T09:56:43	Rear_Baffle_Z	3713.252
2010-05-26T09:56:44	Rear_Det_Z	7465.024
2010-05-26T09:56:44	Rear_Baffle_Z	3753.978
2010-05-26T09:56:44	Julabo_2	27.11
2010-05-26T09:56:45	Rear_Det_Z	7498.176
2010-05-26T09:56:45	Rear_Baffle_Z	3780.565
2010-05-26T09:56:46	Rear_Det_Z	7540.192
2010-05-26T09:56:46	Rear_Baffle_Z	3822.584
2010-05-26T09:56:47	Rear_Det_Z	7574.736
2010-05-26T09:56:47	Rear_Baffle_Z	3857.107
2010-05-26T09:56:48	Rear_Det_Z	7610.064
